iter	Passed	Remaining
0	46	4620
1	80	3956
2	111	3603
3	138	3321
4	165	3148
5	193	3035
6	223	2962
7	252	2905
8	281	2844
9	308	2779
10	340	2752
11	371	2722
12	400	2678
13	430	2642
14	461	2616
15	491	2578
16	520	2540
17	548	2496
18	576	2456
19	607	2430
20	640	2411
21	671	2381
22	701	2347
23	734	2326
24	760	2281
25	788	2244
26	814	2202
27	842	2166
28	877	2148
29	908	2120
30	942	2097
31	974	2070
32	1002	2034
33	1033	2007
34	1064	1976
35	1093	1943
36	1119	1906
37	1154	1882
38	1183	1850
39	1208	1813
40	1234	1776
41	1265	1747
42	1301	1724
43	1329	1692
44	1355	1656
45	1380	1620
46	1409	1589
47	1435	1555
48	1467	1527
49	1499	1499
50	1529	1469
51	1558	1438
52	1590	1410
53	1618	1378
54	1651	1351
55	1685	1324
56	1719	1297
57	1746	1264
58	1772	1231
59	1799	1199
60	1830	1170
61	1857	1138
62	1884	1106
63	1918	1078
64	1942	1046
65	1970	1015
66	2004	987
67	2032	956
68	2063	927
69	2093	897
70	2124	867
71	2160	840
72	2190	810
73	2219	779
74	2247	749
75	2275	718
76	2309	689
77	2348	662
78	2385	634
79	2416	604
80	2452	575
81	2486	545
82	2517	515
83	2551	485
84	2582	455
85	2614	425
86	2638	394
87	2669	364
88	2700	333
89	2735	303
90	2773	274
91	2807	244
92	2839	213
93	2867	183
94	2894	152
95	2929	122
96	2958	91
97	2991	61
98	3024	30
99	3051	0
